"Enzyme","sample","maxS","max_pre_decrease_S","Sinhibition","RSS_MM","RSS_INH","pvalue","INHbetter"
"AP","2",1000,500,TRUE,5188841458769.79,5042571547971.61,0.443818246144879,FALSE
"AP","3",1000,1000,FALSE,1361948350305.9,1362217022061.96,1,FALSE
"AP","4",1000,1000,FALSE,637460653731.754,637734305357.738,1,FALSE
"AP","6",1000,1000,FALSE,1358949964561.15,1359226769544.53,1,FALSE
"AP","7",1000,1000,FALSE,888132314601.078,888232416094.243,1,FALSE
"AP","8",1000,1000,FALSE,4202439213597.06,4202892662295.36,1,FALSE
"AP","9",1000,500,TRUE,196280351115.978,192236637301.405,0.513518310715342,FALSE
"AP","10",1000,1000,FALSE,19720554429.8817,19732922657.1619,1,FALSE
"AP","11",1000,500,TRUE,199774199008.307,199829167469.871,1,FALSE
"AP","12",1000,1000,FALSE,1426760859434.59,1091349405222.24,0.0190333408216084,TRUE
"AP","13",1000,500,TRUE,24814198663758.1,17830269574004.3,0.00920723766911773,TRUE
"AP","14",1000,500,TRUE,160079998207.556,160089077760.461,1,FALSE
"AP","15",1000,500,TRUE,675585218579.22,474921964051.274,0.00716115525170448,TRUE
"AP","16",1000,500,TRUE,258352058271.148,194320299368.604,0.0156318397307032,TRUE
"AP","17",1000,500,TRUE,3824234128624.09,2451189134339.36,0.00251587722024204,TRUE
"AP","18",1000,500,TRUE,6352604935096.63,2868460845881.37,5.3206612725622e-05,TRUE
"AP","19",1000,500,TRUE,635763527412.358,603431316367.218,0.30085114521175,FALSE
"AP","20",1000,500,TRUE,1366842776932.8,1036986951552.41,0.0172906597630936,TRUE
"AP","21",1000,1000,FALSE,251304614290.045,235135306201.303,0.242856656176949,FALSE
"AP","22",1000,500,TRUE,74085868855.7925,63540404300.6944,0.075942479977442,FALSE
"AP","23",1000,500,TRUE,3079076625948.44,1916166201227.83,0.00180748693946949,TRUE
"AP","24",1000,1000,FALSE,3007430707523.85,1641464845183.08,0.000422137864584558,TRUE
"AP","25",1000,500,TRUE,3912750660569.82,3136163148559.23,0.0331345679655552,TRUE
"AP","26",1000,1000,FALSE,1497707580292.79,508199170179.806,2.44224994494369e-06,TRUE
"AP","27",1000,500,TRUE,677333509395.351,677346676270.708,1,FALSE
"AP","28",1000,1000,FALSE,4551269230247.86,1560341433611.99,2.72804996094339e-06,TRUE
"AP","29",1000,500,TRUE,2784354323162.97,1011635352678.81,5.08889350123996e-06,TRUE
"AP","30",1000,1000,FALSE,677514555396.449,363908341206.028,0.000353897159658467,TRUE
"AP","31",1000,100,TRUE,22981957205.3705,12412813966.6143,0.000376156770820226,TRUE
"AP","32",1000,1000,FALSE,1844231754691.2,543832113508.277,5.43569907043755e-07,TRUE
"AP","33",1000,1000,FALSE,966903353198.813,329711254483.339,2.57505237737397e-06,TRUE
"AP","34",1000,1000,FALSE,1519417757402.42,1152231755250.16,0.0172013953068508,TRUE
"AP","35",1000,1000,FALSE,4573298342474.25,4573021985857.55,0.971918613196119,FALSE
"AP","36",1000,500,TRUE,21534526759001.5,9982773861439.99,7.07965461838111e-05,TRUE
"AP","37",1000,1000,FALSE,3054012205794.31,3055103675232.93,1,FALSE
"AP","38",1000,500,TRUE,2867434010797.03,1622180355495.59,0.000626794105239234,TRUE
"AP","39",1000,1000,FALSE,5253625625385.31,2259622913043.05,3.14055939511676e-05,TRUE
"AP","40",1000,1000,FALSE,5870815412769.31,5872831237105.11,1,FALSE
"AP","41",1000,1000,FALSE,3279319825950.09,3280011122353.91,1,FALSE
"AP","42",1000,1000,FALSE,1762214905908.74,1762793332649.48,1,FALSE
"AP","43",1000,500,TRUE,444443022551.029,179184525099.39,1.56071919556012e-05,TRUE
"AP","44",1000,500,TRUE,72743146144.0722,70153707495.3972,0.388599721678051,FALSE
"AP","45",1000,1000,FALSE,1184429391021.61,1184498713377.58,1,FALSE
"AP","46",1000,1000,FALSE,10894300607309.1,10898354598031.5,1,FALSE
"AP","47",1000,1000,FALSE,6985391286429.51,5386720184380.99,0.0209371234322798,TRUE
"AP","48",1000,1000,FALSE,7568710410657.08,7571839592939.07,1,FALSE
"AP","49",1000,1000,FALSE,25268038827322.6,22494474572237.4,0.122519169777054,FALSE
"AP","50",1000,1000,FALSE,2605736645733.55,2224949063621.41,0.0718335040104767,FALSE
"AP","51",1000,1000,FALSE,1375071950754,1375160332450.61,1,FALSE
"AP","52",1000,1000,FALSE,1115540378702.27,1104930474826.91,0.657993102655294,FALSE
"AP","53",1000,1000,FALSE,955849131348.696,929274925360.411,0.447014157623567,FALSE
"AP","54",1000,1000,FALSE,2202527641526.96,2203253735907.33,1,FALSE
"AP","55",1000,500,TRUE,34746562672.3678,26778409480.9332,0.0207896137063234,TRUE
"AP","56",1000,1000,FALSE,38644699686639,38657280581366.7,1,FALSE
"AP","57",1000,1000,FALSE,54460691455000.2,54480458474648.4,1,FALSE
"AP","58",1000,1000,FALSE,16797103024605,16803049763633.1,1,FALSE
"AP","59",1000,500,TRUE,55365060631.8176,55381713594.4009,1,FALSE
"AP","60",1000,500,TRUE,6798428101.2755,3799465633.29481,0.000547910946750365,TRUE
"AP","61",1000,500,TRUE,13613270040.0703,7080971985.97449,0.000248801457631599,TRUE
"AP","62",1000,100,TRUE,1196961877.74683,582770446.012446,0.000120768122886782,TRUE
"AP","63",1000,500,TRUE,2654335475742,2655110097374.21,1,FALSE
"AP","64",1000,500,TRUE,441156519431.652,441352120445.097,1,FALSE
"AP","65",1000,1000,FALSE,3023815312250.9,3024173566129.12,1,FALSE
"AP","66",1000,1000,FALSE,7974750031494.98,4727321825278.35,0.0010516130667749,TRUE
"AP","67",1000,1000,FALSE,425641384191.903,415639602023.029,0.484986332183432,FALSE
"AP","68",1000,500,TRUE,332475648908.028,332515699606.18,1,FALSE
"AP","69",1000,500,TRUE,58589717689.1017,55278426318.7438,0.274702438438012,FALSE
