"Enzyme","sample","maxS","max_pre_decrease_S","Sinhibition","RSS_MM","RSS_INH","pvalue","INHbetter"
"BG","2",1000,500,TRUE,740072.68334764,523386.631360525,0.0076703527421203,TRUE
"BG","3",1000,1000,FALSE,514047.825140462,513436.088810562,0.875827014359345,FALSE
"BG","4",1000,1000,FALSE,59348.9900755981,57623.4768635939,0.436650434710444,FALSE
"BG","6",1000,500,TRUE,1375325.9980771,1006706.52222209,0.0113986638954001,TRUE
"BG","7",1000,500,TRUE,89740.186817278,7439.37733775088,7.89828328735486e-13,TRUE
"BG","8",1000,1000,FALSE,272483.878238918,236841.932270125,0.0899373663027316,FALSE
"BG","9",1000,500,TRUE,145632.858463097,102189.774435397,0.00701297722392725,TRUE
"BG","10",1000,500,TRUE,22902.5517318012,14028.7485452041,0.00151456359574292,TRUE
"BG","11",1000,100,TRUE,43501.9318257218,3946.69718780797,2.04439054398167e-12,TRUE
"BG","12",1000,500,TRUE,10744777.3752203,656774.118288552,3.1873674273112e-14,TRUE
"BG","13",1000,500,TRUE,72727225.6230091,19495281.0689256,1.96419253107005e-07,TRUE
"BG","14",1000,500,TRUE,8890.51737477732,1766.54788268488,8.13344712871677e-09,TRUE
"BG","15",1000,500,TRUE,503165.807743494,45375.341967406,1.91854945352103e-12,TRUE
"BG","16",1000,1000,FALSE,456476.52518728,448959.540342077,0.559537939439767,FALSE
"BG","17",1000,500,TRUE,2204125.78328381,560229.741177027,1.11422849125793e-07,TRUE
"BG","18",1000,500,TRUE,9287424.26897639,2514649.87435374,2.18559338056231e-07,TRUE
"BG","19",1000,500,TRUE,474635.73841128,20463.1942424181,8.0876313218117e-16,TRUE
"BG","20",1000,500,TRUE,1409793.81506002,105680.801831528,2.73457263030853e-13,TRUE
"BG","21",1000,500,TRUE,612530.073302704,128532.979107376,1.45120965047368e-08,TRUE
"BG","22",1000,500,TRUE,789512.152269651,49893.0126648581,4.52607409416365e-14,TRUE
"BG","23",1000,500,TRUE,35355703.1174048,599401.693846893,4.42857677188212e-20,TRUE
