"Enzyme","sample","maxS","max_pre_decrease_S","Sinhibition","RSS_MM","RSS_INH","pvalue","INHbetter"
"NAG","2",1000,500,TRUE,754092.993486374,382915.996234545,0.000191165633081907,TRUE
"NAG","3",1000,500,TRUE,2880393.64868185,2181160.14484797,0.0169133470601509,TRUE
"NAG","4",1000,500,TRUE,127720.333917127,71577.8324239015,0.000564936755857316,TRUE
"NAG","6",1000,500,TRUE,2791620.72355137,1106842.14746089,1.30328788888391e-05,TRUE
"NAG","7",1000,500,TRUE,420898.373437457,244299.240246235,0.000832413249498473,TRUE
"NAG","8",1000,500,TRUE,2754540.58308522,646030.019091308,4.73386359199974e-08,TRUE
"NAG","9",1000,100,TRUE,736694.405275183,15492.2427946033,4.26142937527819e-19,TRUE
"NAG","10",1000,500,TRUE,4313.49277430088,1993.68201451577,6.85486164008157e-05,TRUE
"NAG","11",1000,500,TRUE,5449.80798760301,1377.13765894944,1.04709986208064e-07,TRUE
"NAG","12",1000,500,TRUE,3294437.71719841,706028.045236618,1.81528333342746e-08,TRUE
"NAG","13",1000,500,TRUE,20057511.243436,1160188.30760547,1.78274134863871e-14,TRUE
"NAG","14",1000,500,TRUE,19152.7334369014,3660.72366609097,5.38754850716552e-09,TRUE
"NAG","15",1000,500,TRUE,282336.371830986,30037.3880615172,1.0971514916352e-11,TRUE
"NAG","16",1000,500,TRUE,897075.91811356,64240.7982259275,1.68911741521451e-13,TRUE
"NAG","17",1000,500,TRUE,1573983.78317229,134669.123120941,1.10190809088421e-12,TRUE
"NAG","18",1000,500,TRUE,1708994.94119478,228954.88211448,1.25202767159103e-10,TRUE
"NAG","19",1000,500,TRUE,456869.00310683,9852.22961697942,5.54984158283078e-19,TRUE
"NAG","20",1000,500,TRUE,1387510.98513841,130562.51158681,3.00463451422622e-12,TRUE
"NAG","21",1000,500,TRUE,379451.346150074,23058.8737985553,2.99724948984211e-14,TRUE
"NAG","22",1000,500,TRUE,156985.823856631,13414.0775105675,1.08683491938367e-12,TRUE
"NAG","23",1000,500,TRUE,6294518.50201825,215037.966070145,6.99595865695658e-17,TRUE
"NAG","24",1000,500,TRUE,22423098.7177804,1167196.38761584,5.874164737656e-15,TRUE
"NAG","25",1000,500,TRUE,1792810.16521191,30593.1848778045,4.74265403558341e-20,TRUE
"NAG","26",1000,500,TRUE,2535789.87231686,970997.634269081,8.95406073666851e-06,TRUE
"NAG","27",1000,500,TRUE,2148297.64317759,492265.04547332,3.69671190172938e-08,TRUE
"NAG","28",1000,500,TRUE,7623572.18163375,291598.464327624,2.29595547866013e-16,TRUE
"NAG","29",1000,500,TRUE,7060523.35021376,119348.327539331,4.29362566867224e-20,TRUE
"NAG","30",1000,500,TRUE,1017109.36556469,45217.8600082666,1.11701057630038e-15,TRUE
"NAG","31",1000,500,TRUE,4943.41150069205,623.698356889819,6.64066839730226e-11,TRUE
