"Enzyme","sample","RMSE","RMSEp1","RMSEp2","MAPE","MAPEp1","MAPEp2","biasPERCENT","biasPERCENTp1","biasPERCENTp2","biasMEANRES","biasMEANRESp1","biasMEANRESp2","Rsquared","PRSEmax","PRSE_Vmax","PRSE_Km","PRSE_Ki","RMSEp1pdS","MAPEp1pdS","biasPERCENTp1pdS","biasMEANRESp1pdS","Sinhibition","INHbetter_aov_pvalue"
"AP","2",490022.912388099,517120.015459879,276366.641116204,16.3202571066521,18.6299828132507,2.4619028670604,-11.3252583330472,-13.4768308717426,1.58417689912524,-99885.1029112597,-133012.340701991,132005.56162386,0.981801437586588,132.251017346244,10.63306147814,19.3913277766548,132.251017346244,NA,NA,NA,NA,TRUE,0.443818246144879
"AP","3",254690.944560355,254690.944560355,NA,17.4022745356344,17.4022745356344,NA,-11.6696213457958,-11.6696213457958,NA,-65959.5154282509,-65959.5154282509,NA,0.983862175445285,100621.212733944,9.01720293891333,17.7951901086439,100621.212733944,NA,NA,NA,NA,FALSE,1
"AP","4",174265.028778382,174265.028778382,NA,12.3318695283956,12.3318695283956,NA,-7.36154165758866,-7.36154165758866,NA,-36530.9498389875,-36530.9498389875,NA,0.986543393353721,72978.6627852694,6.16804765817852,13.9845823095691,72978.6627852694,NA,NA,NA,NA,FALSE,1
"AP","6",254411.250270159,254411.250270159,NA,21.5953902482928,21.5953902482928,NA,-16.3196183659329,-16.3196183659329,NA,-82038.2383928289,-82038.2383928289,NA,0.988004637843041,112520.328752786,10.8052756778894,19.0261147559178,112520.328752786,NA,NA,NA,NA,FALSE,1
"AP","7",205661.813953815,205661.813953815,NA,22.4074381150872,22.4074381150872,NA,-16.3471921725502,-16.3471921725502,NA,-58671.1566154953,-58671.1566154953,NA,0.979599991941674,136678.520050528,12.959277737674,23.1938601388301,136678.520050528,NA,NA,NA,NA,FALSE,1
"AP","8",447367.573504818,447367.573504818,NA,22.0792211876303,22.0792211876303,NA,-15.3489404207395,-15.3489404207395,NA,-122557.596157219,-122557.596157219,NA,0.978014506859532,133623.406655878,12.4487120860574,22.8531344376588,133623.406655878,NA,NA,NA,NA,FALSE,1
"AP","9",95677.1947006243,94645.5236631167,101647.568606803,2.19759034732425,2.25664562660546,1.84325867163701,-0.270532017189795,-0.500168095640515,1.10728445351453,-2765.75335095337,-9628.86771231869,45276.0471786039,0.996103672252634,152.449315613277,1.318168807332,5.00789794585199,152.449315613277,NA,NA,NA,NA,TRUE,0.513518310715342
"AP","10",30653.9228105373,30653.9228105373,NA,4.42601266616508,4.42601266616508,NA,-0.265771596771519,-0.265771596771519,NA,-906.202296095544,-906.202296095544,NA,0.98750668565607,33369.9863615032,2.14068324033965,9.00069133058148,33369.9863615032,NA,NA,NA,NA,FALSE,1
"AP","11",97548.319521263,104477.554603037,33412.063614411,4.26600181087181,4.73806376404979,1.43363009180389,-0.778752563270486,-0.989153837889461,0.483655084443364,-4371.90309330994,-6400.16662078155,9825.94159899132,0.983569277593155,41726.8474676895,2.80739457055671,10.4067626350469,41726.8474676895,NA,NA,NA,NA,TRUE,1
"AP","12",227967.145212413,227967.145212413,NA,6.59928928829443,6.59928928829443,NA,-5.1296973970275,-5.1296973970275,NA,-55187.6680285821,-55187.6680285821,NA,0.998654657526081,41.6183368679761,2.86653827109832,5.35353513363018,41.6183368679761,NA,NA,NA,NA,FALSE,0.0190333408216084
