"Enzyme","sample","Vmax","Vmax_se","Km","Km_se","Ki","Ki_se","Rmax","SRmax","SRmax05","SRmax05highS","max_pre_decrease_S","Sinhibition","INHbetter_aov_pvalue"
"NAG","2",5188.31942856781,605.206657659837,182.603187233006,32.5297502639325,1671.10191149167,566.234820796204,3123.37939137994,552.402511968898,80.3273579760753,3802.8321609667,500,TRUE,0.000191165633081907
"NAG","3",8204.0342951899,4009.91521886723,440.487319939485,278.800699880026,709.886986814454,612.66461692579,3185.48740632099,559.192468012415,110.283783070355,2838.43902469914,500,TRUE,0.0169133470601509
"NAG","4",1913.3813029206,370.710381077054,244.19046655164,67.3283681016692,1127.05624328441,498.31395420745,990.906809899966,524.610703167174,87.7236819377453,3139.82645672011,500,TRUE,0.000564936755857316
"NAG","6",10276.0394556643,1852.80418083428,281.513270407428,69.2439536535667,847.219072071111,302.189714551516,4773.17434346264,488.368110885922,87.9638931598706,2713.12198547883,500,TRUE,1.30328788888391e-05
"NAG","7",3976.09716733127,521.926934517635,210.296450873945,41.528254148103,1741.93170571038,670.619581492209,2345.90051739944,605.24545052044,89.9484687942168,4075.91493431661,500,TRUE,0.000832413249498473
"NAG","8",12307.2854241432,2444.44045752851,399.961439918956,100.316671023186,521.812107702481,166.931432577989,4473.77700670318,456.842119297061,92.5197811357684,2259.58199154795,500,TRUE,4.73386359199974e-08
"NAG","9",6708.6217807838,1638.94165937669,443.886474488411,124.33166201936,101.356583660383,28.6406952785535,1293.74481785536,212.110387739962,50.0206314922323,900.786675897567,100,TRUE,4.26142937527819e-19
"NAG","10",188.232178664373,56.8086266872811,116.476128819237,53.5163020850798,521.712279366541,275.964951725788,96.7773482895607,246.509688771202,41.4424229247315,1467.98727179589,500,TRUE,6.85486164008157e-05
"NAG","11",225.658151262443,25.5291073454244,70.7707935625077,14.2232908761369,828.250267124512,206.707550915716,142.404904069008,242.107266873096,33.2446522068968,1763.45433426692,500,TRUE,1.04709986208064e-07
"NAG","12",17870.6384172847,2049.92217238295,449.573163329122,68.5016130637522,937.964010448351,210.773199785928,7494.05908811001,649.371578732959,123.652713862142,3412.95581705234,500,TRUE,1.81528333342746e-08
"NAG","13",44454.5529555211,3459.03355493099,497.708007348019,49.210850461227,631.48778765259,82.3026627723294,16016.4388723453,560.621555469623,113.873625278408,2761.68303636705,500,TRUE,1.78274134863871e-14
"NAG","14",2077.13464495175,2500.53389873862,1073.92587840161,1382.74231320654,74.4603649314494,99.0571504663228,241.654615448275,282.78067970622,70.4477120860279,1135.93286628816,500,TRUE,5.38754850716552e-09
"NAG","15",4994.60901640371,373.020556758663,388.25863998787,38.8582093514907,921.070693900244,136.185633545441,2172.98029884638,598.008072643165,111.719079877731,3202.74200150993,500,TRUE,1.0971514916352e-11
